,school_name,district_name,county_name,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,year
493,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,163.0,141.0,86.5,121.0,74.23,362.0,160.0,146.0,91.25,132.0,82.5,114.0,69.94,127.0,79.38,2018-19
501,San Jose High,San Jose Unified,Santa Clara,234.0,35.0,17.0,48.57,11.0,31.43,273.0,241.0,93.0,38.59,40.0,16.6,11.0,31.43,35.0,14.52,2018-19
502,City Arts and Tech High,San Francisco Unified,San Francisco,67.0,41.0,15.0,36.59,8.0,19.51,81.0,48.0,16.0,33.33,10.0,20.83,6.0,14.63,6.0,12.5,2018-19
504,Everest Public High,Sequoia Union High,San Mateo,86.0,42.0,21.0,50.0,9.0,21.43,94.0,96.0,44.0,45.83,29.0,30.21,5.0,11.9,27.0,28.13,2018-19
505,East Palo Alto Academy,Sequoia Union High,San Mateo,65.0,33.0,10.0,30.3,5.0,15.15,92.0,35.0,21.0,60.0,6.0,17.14,4.0,12.12,6.0,17.14,2018-19
506,Menlo-Atherton High,Sequoia Union High,San Mateo,644.0,194.0,154.0,79.38,134.0,69.07,607.0,317.0,286.0,90.22,272.0,85.8,130.0,67.01,264.0,83.28,2018-19
507,Joseph A. Gregori High,Modesto City High,Stanislaus,539.0,193.0,149.0,77.2,93.0,48.19,563.0,174.0,149.0,85.63,114.0,65.52,88.0,45.6,111.0,63.79,2018-19
508,Moorpark High,Moorpark Unified,Ventura,457.0,121.0,105.0,86.78,88.0,72.73,480.0,134.0,129.0,96.27,117.0,87.31,85.0,70.25,115.0,85.82,2018-19
509,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,63.0,12.0,19.05,3.0,4.76,105.0,84.0,28.0,33.33,18.0,21.43,3.0,4.76,17.0,20.24,2018-19
510,Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715.0,287.0,248.0,86.41,197.0,68.64,661.0,263.0,242.0,92.02,217.0,82.51,195.0,67.94,213.0,80.99,2018-19
513,Watsonville High,Pajaro Valley Unified,Santa Cruz,455.0,134.0,66.0,49.25,37.0,27.61,490.0,146.0,93.0,63.7,64.0,43.84,32.0,23.88,58.0,39.73,2018-19
514,Yuba City High,Yuba City Unified,Sutter,394.0,77.0,66.0,85.71,40.0,51.95,417.0,86.0,63.0,73.26,56.0,65.12,40.0,51.95,53.0,61.63,2018-19
516,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,117.0,62.0,39.0,62.9,22.0,35.48,134.0,86.0,56.0,65.12,21.0,24.42,21.0,33.87,21.0,24.42,2018-19
518,Kearny SCT,San Diego Unified,San Diego,77.0,33.0,23.0,69.7,16.0,48.48,79.0,34.0,26.0,76.47,16.0,47.06,15.0,45.45,16.0,47.06,2018-19
519,Lompoc High,Lompoc Unified,Santa Barbara,342.0,19.0,14.0,73.68,11.0,57.89,386.0,299.0,138.0,46.15,66.0,22.07,11.0,57.89,58.0,19.4,2018-19
523,Glendale High,Glendale Unified,Los Angeles,547.0,177.0,144.0,81.36,114.0,64.41,558.0,140.0,125.0,89.29,104.0,74.29,108.0,61.02,99.0,70.71,2018-19
526,Centennial High,Compton Unified,Los Angeles,214.0,46.0,18.0,39.13,3.0,6.52,235.0,182.0,52.0,28.57,18.0,9.89,3.0,6.52,17.0,9.34,2018-19
527,OCSA,Santa Ana Unified,Orange,379.0,152.0,148.0,97.37,124.0,81.58,421.0,197.0,194.0,98.48,178.0,90.36,123.0,80.92,177.0,89.85,2018-19
528,Santa Ana High,Santa Ana Unified,Orange,648.0,551.0,136.0,24.68,74.0,13.43,758.0,208.0,102.0,49.04,70.0,33.65,58.0,10.53,56.0,26.92,2018-19
530,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482.0,218.0,198.0,90.83,156.0,71.56,607.0,286.0,267.0,93.36,225.0,78.67,155.0,71.1,223.0,77.97,2018-19
531,Parlier High,Parlier Unified,Fresno,201.0,51.0,23.0,45.1,14.0,27.45,221.0,66.0,29.0,43.94,13.0,19.7,11.0,21.57,12.0,18.18,2018-19
533,Sanger High,Sanger Unified,Fresno,734.0,320.0,199.0,62.19,120.0,37.5,712.0,215.0,157.0,73.02,132.0,61.4,110.0,34.38,116.0,53.95,2018-19
535,Gardena Senior High,Los Angeles Unified,Los Angeles,279.0,84.0,40.0,47.62,16.0,19.05,313.0,299.0,102.0,34.11,36.0,12.04,11.0,13.1,35.0,11.71,2018-19
536,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87.0,27.0,7.0,25.93,6.0,22.22,102.0,96.0,23.0,23.96,5.0,5.21,5.0,18.52,4.0,4.17,2018-19
538,San Jacinto Valley Academy,San Jacinto Unified,Riverside,66.0,65.0,36.0,55.38,17.0,26.15,71.0,71.0,41.0,57.75,21.0,29.58,16.0,24.62,18.0,25.35,2018-19
539,West Shores High,Coachella Valley Unified,Riverside,63.0,31.0,15.0,48.39,5.0,16.13,81.0,35.0,27.0,77.14,11.0,31.43,4.0,12.9,11.0,31.43,2018-19
540,Barstow High,Barstow Unified,San Bernardino,319.0,44.0,29.0,65.91,19.0,43.18,316.0,53.0,40.0,75.47,37.0,69.81,19.0,43.18,31.0,58.49,2018-19
541,Piedmont High,Piedmont City Unified,Alameda,205.0,64.0,62.0,96.88,58.0,90.63,184.0,95.0,95.0,100.0,94.0,98.95,57.0,89.06,94.0,98.95,2018-19
542,South Hills High,Covina-Valley Unified,Los Angeles,401.0,381.0,194.0,50.92,135.0,35.43,390.0,365.0,218.0,59.73,138.0,37.81,113.0,29.66,125.0,34.25,2018-19
544,Cajon High,San Bernardino City Unified,San Bernardino,631.0,232.0,147.0,63.36,72.0,31.03,661.0,608.0,321.0,52.8,159.0,26.15,69.0,29.74,152.0,25.0,2018-19
545,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108.0,47.0,22.0,46.81,10.0,21.28,87.0,91.0,41.0,45.05,19.0,20.88,9.0,19.15,17.0,18.68,2018-19
546,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,62.0,23.0,5.0,21.74,1.0,4.35,85.0,76.0,16.0,21.05,3.0,3.95,1.0,4.35,3.0,3.95,2018-19
547,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103.0,23.0,9.0,39.13,9.0,39.13,101.0,91.0,22.0,24.18,13.0,14.29,7.0,30.43,11.0,12.09,2018-19
548,Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,125.0,37.0,10.0,27.03,3.0,8.11,125.0,103.0,34.0,33.01,14.0,13.59,3.0,8.11,13.0,12.62,2018-19
549,Newport Harbor High,Newport-Mesa Unified,Orange,548.0,127.0,112.0,88.19,83.0,65.35,573.0,140.0,124.0,88.57,106.0,75.71,82.0,64.57,103.0,73.57,2018-19
550,Mesa Verde High,San Juan Unified,Sacramento,211.0,62.0,41.0,66.13,22.0,35.48,212.0,95.0,67.0,70.53,38.0,40.0,20.0,32.26,32.0,33.68,2018-19
551,Mira Loma High,San Juan Unified,Sacramento,454.0,150.0,141.0,94.0,135.0,90.0,467.0,150.0,144.0,96.0,139.0,92.67,133.0,88.67,137.0,91.33,2018-19
552,La Jolla High,San Diego Unified,San Diego,339.0,139.0,124.0,89.21,110.0,79.14,343.0,167.0,161.0,96.41,138.0,82.63,108.0,77.7,138.0,82.63,2018-19
553,Amador Valley High,Pleasanton Unified,Alameda,654.0,259.0,244.0,94.21,218.0,84.17,623.0,414.0,409.0,98.79,391.0,94.44,217.0,83.78,387.0,93.48,2018-19
554,Robert F. Kennedy High,Delano Joint Union High,Kern,304.0,113.0,61.0,53.98,40.0,35.4,264.0,114.0,74.0,64.91,48.0,42.11,34.0,30.09,42.0,36.84,2018-19
555,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144.0,64.0,34.0,53.13,10.0,15.63,169.0,159.0,73.0,45.91,36.0,22.64,9.0,14.06,32.0,20.13,2018-19
557,North Tahoe High,Tahoe-Truckee Unified,Placer,103.0,39.0,32.0,82.05,30.0,76.92,107.0,56.0,45.0,80.36,43.0,76.79,28.0,71.79,39.0,69.64,2018-19
558,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580.0,285.0,250.0,87.72,198.0,69.47,596.0,278.0,258.0,92.81,240.0,86.33,191.0,67.02,235.0,84.53,2018-19
559,Inglewood High,Inglewood Unified,Los Angeles,176.0,76.0,26.0,34.21,3.0,3.95,206.0,27.0,10.0,37.04,3.0,11.11,3.0,3.95,1.0,3.7,2018-19
565,Yucca Valley High,Morongo Unified,San Bernardino,314.0,73.0,58.0,79.45,34.0,46.58,307.0,40.0,37.0,92.5,24.0,60.0,34.0,46.58,24.0,60.0,2018-19
568,Lawndale High,Centinela Valley Union High,Los Angeles,553.0,220.0,107.0,48.64,55.0,25.0,560.0,201.0,113.0,56.22,65.0,32.34,46.0,20.91,58.0,28.86,2018-19
571,Orange Cove High,Kings Canyon Joint Unified,Fresno,122.0,46.0,18.0,39.13,7.0,15.22,142.0,65.0,31.0,47.69,7.0,10.77,7.0,15.22,5.0,7.69,2018-19
574,Carson Senior High,Los Angeles Unified,Los Angeles,334.0,92.0,46.0,50.0,23.0,25.0,336.0,299.0,139.0,46.49,59.0,19.73,20.0,21.74,54.0,18.06,2018-19
575,Walnut High,Walnut Valley Unified,Los Angeles,666.0,387.0,348.0,89.92,316.0,81.65,591.0,315.0,307.0,97.46,297.0,94.29,303.0,78.29,292.0,92.7,2018-19
576,El Toro High,Saddleback Valley Unified,Orange,559.0,189.0,160.0,84.66,126.0,66.67,600.0,230.0,215.0,93.48,194.0,84.35,120.0,63.49,190.0,82.61,2018-19
577,Ramona High,Riverside Unified,Riverside,543.0,224.0,138.0,61.61,79.0,35.27,515.0,183.0,124.0,67.76,91.0,49.73,70.0,31.25,84.0,45.9,2018-19
579,Otay Ranch Senior High,Sweetwater Union High,San Diego,626.0,328.0,276.0,84.15,189.0,57.62,578.0,227.0,201.0,88.55,156.0,68.72,182.0,55.49,150.0,66.08,2018-19
580,Irvington High,Fremont Unified,Alameda,497.0,179.0,165.0,92.18,155.0,86.59,552.0,349.0,345.0,98.85,338.0,96.85,152.0,84.92,338.0,96.85,2018-19
582,Los Osos High,Chaffey Joint Union High,San Bernardino,763.0,367.0,312.0,85.01,243.0,66.21,736.0,390.0,362.0,92.82,318.0,81.54,234.0,63.76,310.0,79.49,2018-19
583,Sage Creek High,Carlsbad Unified,San Diego,307.0,149.0,140.0,93.96,118.0,79.19,285.0,167.0,161.0,96.41,143.0,85.63,117.0,78.52,142.0,85.03,2018-19
584,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,183.0,175.0,95.63,172.0,93.99,484.0,291.0,290.0,99.66,286.0,98.28,170.0,92.9,285.0,97.94,2018-19
585,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502.0,155.0,146.0,94.19,122.0,78.71,525.0,245.0,241.0,98.37,225.0,91.84,122.0,78.71,223.0,91.02,2018-19
588,Mayfair High,Bellflower Unified,Los Angeles,452.0,161.0,131.0,81.37,86.0,53.42,480.0,129.0,108.0,83.72,88.0,68.22,81.0,50.31,83.0,64.34,2018-19
589,Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,43.0,13.0,30.23,5.0,11.63,114.0,94.0,23.0,24.47,16.0,17.02,4.0,9.3,11.0,11.7,2018-19
590,APEX Academy,Los Angeles Unified,Los Angeles,82.0,46.0,7.0,15.22,1.0,2.17,64.0,40.0,7.0,17.5,1.0,2.5,1.0,2.17,1.0,2.5,2018-19
591,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108.0,48.0,21.0,43.75,10.0,20.83,109.0,89.0,25.0,28.09,10.0,11.24,10.0,20.83,8.0,8.99,2018-19
593,Riverside Preparatory,Oro Grande,San Bernardino,117.0,46.0,29.0,63.04,15.0,32.61,158.0,41.0,30.0,73.17,12.0,29.27,13.0,28.26,11.0,26.83,2018-19
596,Mountain Empire High,Mountain Empire Unified,San Diego,84.0,27.0,22.0,81.48,11.0,40.74,100.0,38.0,27.0,71.05,14.0,36.84,10.0,37.04,14.0,36.84,2018-19
597,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167.0,84.0,40.0,47.62,6.0,7.14,155.0,53.0,34.0,64.15,11.0,20.75,5.0,5.95,10.0,18.87,2018-19
599,Alhambra High,Alhambra Unified,Los Angeles,648.0,268.0,198.0,73.88,151.0,56.34,573.0,279.0,233.0,83.51,176.0,63.08,139.0,51.87,166.0,59.5,2018-19
602,Mission Hills High,San Marcos Unified,San Diego,584.0,223.0,176.0,78.92,110.0,49.33,642.0,299.0,250.0,83.61,191.0,63.88,107.0,47.98,184.0,61.54,2018-19
603,Oceana High,Jefferson Union High,San Mateo,136.0,105.0,79.0,75.24,66.0,62.86,154.0,39.0,37.0,94.87,32.0,82.05,62.0,59.05,31.0,79.49,2018-19
607,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,95.0,39.0,41.05,38.0,40.0,99.0,99.0,61.0,61.62,58.0,58.59,28.0,29.47,49.0,49.49,2018-19
608,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70.0,37.0,8.0,21.62,4.0,10.81,70.0,42.0,9.0,21.43,3.0,7.14,3.0,8.11,2.0,4.76,2018-19
609,Marshall Fundamental,Pasadena Unified,Los Angeles,269.0,158.0,114.0,72.15,72.0,45.57,264.0,135.0,107.0,79.26,70.0,51.85,68.0,43.04,68.0,50.37,2018-19
610,Norte Vista High,Alvord Unified,Riverside,483.0,125.0,68.0,54.4,38.0,30.4,498.0,461.0,183.0,39.7,69.0,14.97,34.0,27.2,64.0,13.88,2018-19
611,Rio Vista High,River Delta Joint Unified,Sacramento,106.0,42.0,29.0,69.05,17.0,40.48,92.0,75.0,28.0,37.33,18.0,24.0,16.0,38.1,16.0,21.33,2018-19
612,East Nicolaus High,East Nicolaus Joint Union High,Sutter,79.0,35.0,26.0,74.29,16.0,45.71,79.0,37.0,30.0,81.08,15.0,40.54,16.0,45.71,15.0,40.54,2018-19
614,Yreka High,Yreka Union High,Siskiyou,138.0,41.0,31.0,75.61,24.0,58.54,133.0,32.0,29.0,90.63,20.0,62.5,22.0,53.66,20.0,62.5,2018-19
616,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,84.0,61.0,23.0,37.7,8.0,13.11,92.0,73.0,31.0,42.47,14.0,19.18,8.0,13.11,10.0,13.7,2018-19
617,Bullard High,Fresno Unified,Fresno,518.0,143.0,84.0,58.74,53.0,37.06,574.0,399.0,234.0,58.65,113.0,28.32,49.0,34.27,110.0,27.57,2018-19
618,Independence High,Kern High,Kern,511.0,166.0,110.0,66.27,55.0,33.13,500.0,108.0,89.0,82.41,62.0,57.41,50.0,30.12,57.0,52.78,2018-19
620,Center High,Center Joint Unified,Sacramento,315.0,52.0,43.0,82.69,35.0,67.31,302.0,39.0,34.0,87.18,32.0,82.05,32.0,61.54,30.0,76.92,2018-19
621,Health Careers Academy,Stockton Unified,San Joaquin,96.0,74.0,29.0,39.19,17.0,22.97,131.0,71.0,35.0,49.3,26.0,36.62,15.0,20.27,21.0,29.58,2018-19
622,Orosi High,Cutler-Orosi Joint Unified,Tulare,237.0,122.0,41.0,33.61,18.0,14.75,267.0,113.0,42.0,37.17,20.0,17.7,17.0,13.93,17.0,15.04,2018-19
623,Cloverdale High,Cloverdale Unified,Sonoma,70.0,21.0,10.0,47.62,4.0,19.05,95.0,23.0,20.0,86.96,13.0,56.52,2.0,9.52,13.0,56.52,2018-19
624,Stockton Early College Academy,Stockton Unified,San Joaquin,99.0,89.0,78.0,87.64,58.0,65.17,107.0,61.0,56.0,91.8,45.0,73.77,56.0,62.92,44.0,72.13,2018-19
625,Prospect High,Campbell Union High,Santa Clara,386.0,140.0,117.0,83.57,92.0,65.71,371.0,163.0,147.0,90.18,131.0,80.37,87.0,62.14,129.0,79.14,2018-19
627,Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,156.0,154.0,98.72,144.0,92.31,627.0,414.0,411.0,99.28,406.0,98.07,143.0,91.67,405.0,97.83,2018-19
629,Summerville High,Summerville Union High,Tuolumne,84.0,24.0,20.0,83.33,15.0,62.5,98.0,32.0,30.0,93.75,21.0,65.63,15.0,62.5,20.0,62.5,2018-19
632,Maria Carrillo High,Santa Rosa High,Sonoma,352.0,99.0,91.0,91.92,86.0,86.87,392.0,137.0,132.0,96.35,127.0,92.7,84.0,84.85,125.0,91.24,2018-19
634,Santa Rosa High,Santa Rosa High,Sonoma,458.0,90.0,80.0,88.89,61.0,67.78,497.0,134.0,129.0,96.27,115.0,85.82,61.0,67.78,114.0,85.07,2018-19
635,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,144.0,81.0,32.0,39.51,13.0,16.05,144.0,129.0,58.0,44.96,25.0,19.38,11.0,13.58,20.0,15.5,2018-19
636,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,453.0,430.0,186.0,43.26,84.0,19.53,498.0,443.0,224.0,50.56,101.0,22.8,77.0,17.91,91.0,20.54,2018-19
637,John F. Kennedy High,Anaheim Union High,Orange,654.0,252.0,226.0,89.68,179.0,71.03,556.0,177.0,166.0,93.79,155.0,87.57,174.0,69.05,150.0,84.75,2018-19
638,Summit High,Fontana Unified,San Bernardino,556.0,241.0,148.0,61.41,88.0,36.51,574.0,519.0,269.0,51.83,147.0,28.32,79.0,32.78,133.0,25.63,2018-19
640,Pacifica High,Oxnard Union High,Ventura,726.0,491.0,198.0,40.33,115.0,23.42,752.0,607.0,253.0,41.68,127.0,20.92,101.0,20.57,109.0,17.96,2018-19
641,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90.0,48.0,47.0,97.92,42.0,87.5,89.0,63.0,63.0,100.0,61.0,96.83,42.0,87.5,61.0,96.83,2018-19
642,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139.0,40.0,33.0,82.5,23.0,57.5,200.0,81.0,78.0,96.3,58.0,71.6,23.0,57.5,57.0,70.37,2018-19
645,Frontier High,Kern High,Kern,576.0,192.0,154.0,80.21,124.0,64.58,575.0,205.0,169.0,82.44,144.0,70.24,118.0,61.46,138.0,67.32,2018-19
646,Arvin High,Kern High,Kern,616.0,216.0,101.0,46.76,42.0,19.44,636.0,146.0,104.0,71.23,56.0,38.36,38.0,17.59,52.0,35.62,2018-19
647,Rosemead High,El Monte Union High,Los Angeles,511.0,179.0,145.0,81.01,116.0,64.8,412.0,224.0,191.0,85.27,144.0,64.29,112.0,62.57,139.0,62.05,2018-19
649,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,53.0,35.0,66.04,17.0,32.08,114.0,113.0,70.0,61.95,26.0,23.01,15.0,28.3,26.0,23.01,2018-19
650,Golden Valley High,William S. Hart Union High,Los Angeles,479.0,175.0,137.0,78.29,93.0,53.14,551.0,130.0,116.0,89.23,100.0,76.92,88.0,50.29,99.0,76.15,2018-19
652,El Dorado High,Placentia-Yorba Linda Unified,Orange,462.0,176.0,158.0,89.77,139.0,78.98,472.0,182.0,170.0,93.41,158.0,86.81,133.0,75.57,153.0,84.07,2018-19
653,Valley View High,Moreno Valley Unified,Riverside,595.0,538.0,227.0,42.19,123.0,22.86,611.0,137.0,85.0,62.04,52.0,37.96,115.0,21.38,49.0,35.77,2018-19
655,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,25.0,15.0,13.0,86.67,12.0,80.0,29.0,16.0,15.0,93.75,11.0,68.75,10.0,66.67,11.0,68.75,2018-19
656,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128.0,72.0,70.0,97.22,35.0,48.61,136.0,71.0,68.0,95.77,53.0,74.65,35.0,48.61,53.0,74.65,2018-19
658,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,279.0,74.0,26.52,42.0,15.05,302.0,273.0,115.0,42.12,47.0,17.22,31.0,11.11,40.0,14.65,2018-19
659,Madera South High,Madera Unified,Madera,621.0,130.0,60.0,46.15,27.0,20.77,749.0,614.0,244.0,39.74,107.0,17.43,24.0,18.46,98.0,15.96,2018-19
662,Placer High,Placer Union High,Placer,343.0,101.0,87.0,86.14,71.0,70.3,316.0,84.0,79.0,94.05,74.0,88.1,69.0,68.32,71.0,84.52,2018-19
665,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255.0,104.0,54.0,51.92,36.0,34.62,355.0,52.0,33.0,63.46,21.0,40.38,32.0,30.77,17.0,32.69,2018-19
666,Franklin High,Elk Grove Unified,Sacramento,595.0,283.0,251.0,88.69,210.0,74.2,664.0,312.0,297.0,95.19,262.0,83.97,202.0,71.38,260.0,83.33,2018-19
667,Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,227.0,132.0,58.15,64.0,28.19,472.0,411.0,208.0,50.61,99.0,24.09,63.0,27.75,93.0,22.63,2018-19
668,Fallbrook High,Fallbrook Union High,San Diego,464.0,105.0,78.0,74.29,53.0,50.48,464.0,116.0,92.0,79.31,76.0,65.52,51.0,48.57,75.0,64.66,2018-19
669,Mission High,San Francisco Unified,San Francisco,324.0,131.0,58.0,44.27,40.0,30.53,288.0,61.0,33.0,54.1,17.0,27.87,33.0,25.19,15.0,24.59,2018-19
670,Monte Vista High,San Ramon Valley Unified,Contra Costa,597.0,243.0,231.0,95.06,203.0,83.54,612.0,323.0,313.0,96.9,292.0,90.4,200.0,82.3,290.0,89.78,2018-19
671,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,97.0,44.0,45.36,22.0,22.68,184.0,214.0,62.0,28.97,24.0,11.21,20.0,20.62,21.0,9.81,2018-19
672,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,98.0,28.0,28.57,10.0,10.2,387.0,189.0,46.0,24.34,17.0,8.99,9.0,9.18,14.0,7.41,2018-19
673,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,43.0,22.0,51.16,9.0,20.93,89.0,26.0,18.0,69.23,6.0,23.08,9.0,20.93,6.0,23.08,2018-19
676,Coalinga High,Coalinga-Huron Unified,Fresno,236.0,59.0,38.0,64.41,15.0,25.42,264.0,64.0,41.0,64.06,23.0,35.94,15.0,25.42,23.0,35.94,2018-19
677,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,60.0,25.0,41.67,9.0,15.0,170.0,166.0,45.0,27.11,18.0,10.84,6.0,10.0,17.0,10.24,2018-19
680,Central High East Campus,Central Unified,Fresno,913.0,379.0,224.0,59.1,98.0,25.86,1026.0,358.0,237.0,66.2,111.0,31.01,94.0,24.8,106.0,29.61,2018-19
681,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,208.0,67.0,32.21,19.0,9.13,353.0,302.0,74.0,24.5,24.0,7.95,17.0,8.17,21.0,6.95,2018-19
682,Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,294.0,102.0,34.69,50.0,17.01,326.0,278.0,110.0,39.57,66.0,23.74,45.0,15.31,60.0,21.58,2018-19
683,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306.0,116.0,45.0,38.79,11.0,9.48,302.0,269.0,76.0,28.25,15.0,5.58,11.0,9.48,12.0,4.46,2018-19
688,Terra Nova High,Jefferson Union High,San Mateo,208.0,171.0,130.0,76.02,92.0,53.8,226.0,68.0,66.0,97.06,57.0,83.82,90.0,52.63,56.0,82.35,2018-19
689,Oakland Technical High,Oakland Unified,Alameda,492.0,186.0,156.0,83.87,116.0,62.37,502.0,249.0,219.0,87.95,197.0,79.12,114.0,61.29,187.0,75.1,2018-19
690,School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104.0,86.0,37.0,43.02,17.0,19.77,104.0,114.0,39.0,34.21,16.0,14.04,16.0,18.6,11.0,9.65,2018-19
692,La Sierra High,Alvord Unified,Riverside,418.0,99.0,66.0,66.67,43.0,43.43,401.0,339.0,159.0,46.9,90.0,26.55,40.0,40.4,78.0,23.01,2018-19
693,The MET,Sacramento City Unified,Sacramento,60.0,15.0,7.0,46.67,3.0,20.0,72.0,58.0,38.0,65.52,21.0,36.21,3.0,20.0,20.0,34.48,2018-19
695,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,173.0,96.0,55.49,52.0,30.06,566.0,518.0,252.0,48.65,132.0,25.48,44.0,25.43,121.0,23.36,2018-19
696,Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,124.0,57.0,45.97,39.0,31.45,558.0,476.0,172.0,36.13,90.0,18.91,35.0,28.23,76.0,15.97,2018-19
697,San Diego International Studies,San Diego Unified,San Diego,286.0,116.0,79.0,68.1,44.0,37.93,279.0,153.0,139.0,90.85,107.0,69.93,43.0,37.07,107.0,69.93,2018-19
698,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,69.0,63.0,91.3,49.0,71.01,217.0,84.0,73.0,86.9,64.0,76.19,48.0,69.57,63.0,75.0,2018-19
701,Lifeline Education Charter,Compton Unified,Los Angeles,59.0,21.0,4.0,19.05,1.0,4.76,69.0,56.0,24.0,42.86,10.0,17.86,1.0,4.76,9.0,16.07,2018-19
702,Quartz Hill High,Antelope Valley Union High,Los Angeles,750.0,188.0,168.0,89.36,115.0,61.17,724.0,573.0,408.0,71.2,219.0,38.22,113.0,60.11,211.0,36.82,2018-19
703,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,84.0,58.0,69.05,31.0,36.9,193.0,69.0,56.0,81.16,33.0,47.83,29.0,34.52,32.0,46.38,2018-19
704,Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,334.0,94.0,28.14,31.0,9.28,455.0,371.0,120.0,32.35,51.0,13.75,28.0,8.38,44.0,11.86,2018-19
706,Aragon High,San Mateo Union High,San Mateo,385.0,172.0,157.0,91.28,137.0,79.65,420.0,216.0,204.0,94.44,175.0,81.02,135.0,78.49,171.0,79.17,2018-19
708,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,139.0,57.0,41.01,27.0,19.42,201.0,204.0,81.0,39.71,41.0,20.1,21.0,15.11,33.0,16.18,2018-19
709,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,4.0,16.0,1.0,4.0,49.0,19.0,5.0,26.32,1.0,5.26,1.0,4.0,1.0,5.26,2018-19
710,Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68.0,45.0,23.0,51.11,10.0,22.22,74.0,66.0,22.0,33.33,10.0,15.15,10.0,22.22,4.0,6.06,2018-19
713,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,157.0,140.0,89.17,108.0,68.79,524.0,239.0,208.0,87.03,184.0,76.99,105.0,66.88,179.0,74.9,2018-19
714,Foothill High,Shasta Union High,Shasta,317.0,61.0,53.0,86.89,39.0,63.93,330.0,73.0,68.0,93.15,64.0,87.67,38.0,62.3,61.0,83.56,2018-19
716,Riverdale High,Riverdale Joint Unified,Fresno,124.0,41.0,19.0,46.34,10.0,24.39,128.0,46.0,34.0,73.91,20.0,43.48,9.0,21.95,19.0,41.3,2018-19
721,e3 Civic High,San Diego Unified,San Diego,81.0,32.0,21.0,65.63,12.0,37.5,101.0,91.0,38.0,41.76,20.0,21.98,12.0,37.5,17.0,18.68,2018-19
