,school_name,district_name,county_name,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,year
439,Compton Early College High,Compton Unified,Los Angeles,65.0,43.0,32.0,74.42,20.0,46.51,85.0,79.0,56.0,70.89,32.0,40.51,18.0,41.86,30.0,37.97,2018-19
441,Rio Linda High,Twin Rivers Unified,Sacramento,318.0,283.0,120.0,42.4,87.0,30.74,375.0,61.0,45.0,73.77,35.0,57.38,78.0,27.56,32.0,52.46,2018-19
442,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113.0,42.0,30.0,71.43,5.0,11.9,137.0,17.0,17.0,100.0,8.0,47.06,5.0,11.9,8.0,47.06,2018-19
443,Sultana High,Hesperia Unified,San Bernardino,429.0,108.0,74.0,68.52,45.0,41.67,423.0,54.0,40.0,74.07,35.0,64.81,39.0,36.11,34.0,62.96,2018-19
444,Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,61.0,19.0,17.0,89.47,11.0,57.89,63.0,22.0,21.0,95.45,11.0,50.0,11.0,57.89,11.0,50.0,2018-19
446,Miramonte High,Acalanes Union High,Contra Costa,319.0,105.0,101.0,96.19,93.0,88.57,325.0,193.0,191.0,98.96,180.0,93.26,93.0,88.57,179.0,92.75,2018-19
447,Corcoran High,Corcoran Joint Unified,Kings,169.0,49.0,27.0,55.1,17.0,34.69,211.0,36.0,20.0,55.56,6.0,16.67,16.0,32.65,5.0,13.89,2018-19
448,El Camino Real Charter High,Los Angeles Unified,Los Angeles,904.0,306.0,266.0,86.93,204.0,66.67,863.0,278.0,263.0,94.6,232.0,83.45,199.0,65.03,228.0,82.01,2018-19
449,Fairfax Senior High,Los Angeles Unified,Los Angeles,361.0,200.0,125.0,62.5,94.0,47.0,339.0,274.0,188.0,68.61,104.0,37.96,85.0,42.5,101.0,36.86,2018-19
450,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232.0,130.0,114.0,87.69,75.0,57.69,251.0,225.0,185.0,82.22,138.0,61.33,74.0,56.92,137.0,60.89,2018-19
453,Hilltop Senior High,Sweetwater Union High,San Diego,599.0,188.0,141.0,75.0,99.0,52.66,511.0,148.0,128.0,86.49,96.0,64.86,92.0,48.94,91.0,61.49,2018-19
454,Alternatives in Action,Alameda Unified,Alameda,53.0,25.0,6.0,24.0,0.0,0.0,52.0,26.0,2.0,7.69,1.0,3.85,0.0,0.0,0.0,0.0,2018-19
456,North High,Kern High,Kern,404.0,104.0,62.0,59.62,27.0,25.96,433.0,67.0,49.0,73.13,31.0,46.27,26.0,25.0,30.0,44.78,2018-19
460,West Ranch High,William S. Hart Union High,Los Angeles,655.0,293.0,277.0,94.54,240.0,81.91,550.0,265.0,259.0,97.74,250.0,94.34,238.0,81.23,248.0,93.58,2018-19
462,Opportunities for Learning - Santa Clarita,William S. Hart Union High,Los Angeles,149.0,18.0,16.0,88.89,6.0,33.33,168.0,15.0,10.0,66.67,4.0,26.67,6.0,33.33,4.0,26.67,2018-19
463,Edison High,Stockton Unified,San Joaquin,525.0,170.0,66.0,38.82,33.0,19.41,579.0,143.0,82.0,57.34,37.0,25.87,28.0,16.47,36.0,25.17,2018-19
465,Vacaville High,Vacaville Unified,Solano,431.0,189.0,150.0,79.37,111.0,58.73,464.0,161.0,139.0,86.34,118.0,73.29,107.0,56.61,114.0,70.81,2018-19
466,John Swett High,John Swett Unified,Contra Costa,101.0,38.0,26.0,68.42,20.0,52.63,135.0,60.0,52.0,86.67,38.0,63.33,18.0,47.37,37.0,61.67,2018-19
