,school_name,district_name,county_name,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21,year
711,Hillcrest High,Alvord Unified,Riverside,391.0,17.0,22.0,22.0,22.0,21.0,11.0,64.71,2018-19
712,Hillsdale High,San Mateo Union High,San Mateo,356.0,65.0,26.0,25.0,25.0,25.0,55.0,84.62,2018-19
713,Hilltop Senior High,Sweetwater Union High,San Diego,599.0,73.0,21.0,20.0,20.0,21.0,36.0,49.32,2018-19
714,Hilmar High,Hilmar Unified,Merced,154.0,26.0,22.0,20.0,20.0,20.0,11.0,42.31,2018-19
715,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,28.0,15.0,15.0,18.0,17.0,1.0,3.57,2018-19
716,Hollywood Senior High,Los Angeles Unified,Los Angeles,334.0,48.0,20.0,20.0,19.0,20.0,21.0,43.75,2018-19
717,Holtville High,Holtville Unified,Imperial,138.0,29.0,20.0,18.0,20.0,19.0,9.0,31.03,2018-19
718,Homestead High,Fremont Union High,Santa Clara,605.0,197.0,30.0,30.0,30.0,29.0,185.0,93.91,2018-19
721,Hoover High,San Diego Unified,San Diego,489.0,206.0,18.0,17.0,18.0,18.0,49.0,23.79,2018-19
725,Hueneme High,Oxnard Union High,Ventura,491.0,30.0,21.0,19.0,20.0,19.0,13.0,43.33,2018-19
730,Huntington Beach High,Huntington Beach Union High,Orange,718.0,205.0,25.0,24.0,24.0,23.0,159.0,77.56,2018-19
731,Huntington Park Senior High,Los Angeles Unified,Los Angeles,301.0,44.0,16.0,16.0,17.0,17.0,7.0,15.91,2018-19
732,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120.0,21.0,18.0,17.0,16.0,16.0,3.0,14.29,2018-19
736,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102.0,23.0,18.0,18.0,19.0,18.0,5.0,21.74,2018-19
737,Imperial High,Imperial Unified,Imperial,279.0,65.0,23.0,22.0,21.0,22.0,35.0,53.85,2018-19
741,Independence High,East Side Union High,Santa Clara,683.0,86.0,21.0,20.0,21.0,21.0,40.0,46.51,2018-19
745,Independence High,Kern High,Kern,511.0,41.0,20.0,20.0,19.0,20.0,15.0,36.59,2018-19
750,Inderkum High,Natomas Unified,Sacramento,471.0,463.0,18.0,16.0,18.0,17.0,110.0,23.76,2018-19
751,Indian Springs High,San Bernardino City Unified,San Bernardino,382.0,110.0,17.0,16.0,17.0,17.0,20.0,18.18,2018-19
752,Indio High,Desert Sands Unified,Riverside,517.0,45.0,18.0,17.0,17.0,18.0,9.0,20.0,2018-19
754,Inglewood High,Inglewood Unified,Los Angeles,176.0,60.0,16.0,16.0,16.0,16.0,6.0,10.0,2018-19
764,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131.0,54.0,26.0,25.0,23.0,23.0,44.0,81.48,2018-19
765,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84.0,36.0,19.0,18.0,18.0,18.0,10.0,27.78,2018-19
768,Irvine High,Irvine Unified,Orange,533.0,139.0,28.0,29.0,29.0,28.0,127.0,91.37,2018-19
769,Irvington High,Fremont Unified,Alameda,497.0,111.0,30.0,31.0,30.0,29.0,103.0,92.79,2018-19
773,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581.0,269.0,18.0,17.0,19.0,17.0,56.0,20.82,2018-19
774,James C. Enochs High,Modesto City High,Stanislaus,577.0,88.0,23.0,22.0,22.0,22.0,54.0,61.36,2018-19
776,James Logan High,New Haven Unified,Alameda,885.0,132.0,24.0,23.0,24.0,24.0,90.0,68.18,2018-19
777,James Monroe High,Los Angeles Unified,Los Angeles,510.0,51.0,20.0,19.0,20.0,19.0,18.0,35.29,2018-19
778,Jefferson High,Jefferson Union High,San Mateo,260.0,19.0,19.0,20.0,19.0,19.0,9.0,47.37,2018-19
779,Jesse M. Bethel High,Vallejo City Unified,Solano,380.0,44.0,20.0,18.0,18.0,19.0,13.0,29.55,2018-19
780,John A. Rowland High,Rowland Unified,Los Angeles,513.0,51.0,25.0,25.0,26.0,25.0,42.0,82.35,2018-19
783,John C. Kimball High,Tracy Joint Unified,San Joaquin,349.0,25.0,24.0,22.0,23.0,23.0,16.0,64.0,2018-19
784,John F. Kennedy High,Sacramento City Unified,Sacramento,537.0,70.0,24.0,22.0,24.0,23.0,47.0,67.14,2018-19
785,John F. Kennedy High,Corona-Norco Unified,Riverside,232.0,59.0,22.0,22.0,20.0,21.0,33.0,55.93,2018-19
786,John F. Kennedy High,Fremont Unified,Alameda,310.0,38.0,26.0,25.0,25.0,24.0,29.0,76.32,2018-19
787,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,15.0,16.0,16.0,16.0,14.0,0.0,0.0,2018-19
788,John F. Kennedy High,Anaheim Union High,Orange,654.0,55.0,23.0,23.0,23.0,23.0,35.0,63.64,2018-19
789,John F. Kennedy High,Los Angeles Unified,Los Angeles,463.0,32.0,21.0,20.0,21.0,20.0,14.0,43.75,2018-19
790,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675.0,44.0,23.0,22.0,24.0,23.0,26.0,59.09,2018-19
791,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,43.0,16.0,16.0,17.0,17.0,8.0,18.6,2018-19
792,John H. Pitman High,Turlock Unified,Stanislaus,511.0,52.0,23.0,22.0,22.0,22.0,32.0,61.54,2018-19
794,John Marshall Senior High,Los Angeles Unified,Los Angeles,552.0,77.0,23.0,22.0,22.0,22.0,49.0,63.64,2018-19
796,John Muir High,Pasadena Unified,Los Angeles,236.0,30.0,18.0,18.0,18.0,19.0,7.0,23.33,2018-19
798,John W. North High,Riverside Unified,Riverside,501.0,118.0,20.0,19.0,20.0,20.0,45.0,38.14,2018-19
799,Jordan (June) School for Equity,San Francisco Unified,San Francisco,65.0,33.0,16.0,14.0,16.0,15.0,4.0,12.12,2018-19
800,Jordan High,Long Beach Unified,Los Angeles,606.0,107.0,17.0,16.0,18.0,18.0,22.0,20.56,2018-19
801,Joseph A. Gregori High,Modesto City High,Stanislaus,539.0,80.0,24.0,23.0,23.0,23.0,53.0,66.25,2018-19
805,Jurupa Hills High,Fontana Unified,San Bernardino,466.0,424.0,16.0,14.0,16.0,16.0,45.0,10.61,2018-19
806,Jurupa Valley High,Jurupa Unified,Riverside,383.0,98.0,18.0,17.0,19.0,19.0,27.0,27.55,2018-19
807,Katella High,Anaheim Union High,Orange,651.0,18.0,20.0,18.0,18.0,20.0,7.0,38.89,2018-19
811,Kearny SCT,San Diego Unified,San Diego,77.0,15.0,21.0,19.0,21.0,22.0,7.0,46.67,2018-19
813,Kelseyville High,Kelseyville Unified,Lake,124.0,18.0,19.0,19.0,19.0,18.0,7.0,38.89,2018-19
814,Kerman High,Kerman Unified,Fresno,382.0,38.0,22.0,21.0,21.0,23.0,18.0,47.37,2018-19
815,Kern Valley High,Kern High,Kern,113.0,20.0,22.0,21.0,21.0,22.0,13.0,65.0,2018-19
818,King City High,South Monterey County Joint Union High,Monterey,221.0,35.0,19.0,19.0,18.0,19.0,9.0,25.71,2018-19
819,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334.0,102.0,21.0,19.0,19.0,19.0,40.0,39.22,2018-19
820,King-Chavez Community High,San Diego Unified,San Diego,87.0,17.0,16.0,13.0,16.0,15.0,0.0,0.0,2018-19
822,Kingsburg High,Kingsburg Joint Union High,Fresno,246.0,41.0,23.0,21.0,22.0,21.0,26.0,63.41,2018-19
824,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144.0,108.0,21.0,21.0,22.0,21.0,58.0,53.7,2018-19
